architecture_id,normalized_error,normalized_energy_saving,normalized_area_saving,balanced_score,pareto_optimal_energy_error,pareto_optimal_area_error
210,0.997096,0.306404,0.348999,0.625734,0,0
211,0.792911,0.933043,0.655541,0.814483,1,0
212,0.82295,0.897787,0.625106,0.809574,1,0
213,0.850125,0.842856,0.577551,0.793066,1,0
214,0.869488,0.811113,0.546147,0.784389,1,0
215,0.895783,0.751055,0.522812,0.770534,1,0
216,0.911991,0.713638,0.482183,0.756606,1,0
217,0.931987,0.666564,0.44451,0.741594,1,0
218,0.945204,0.607897,0.396607,0.717427,1,0
219,0.961517,0.570459,0.359292,0.704202,1,0
220,0.974753,0.534221,0.324903,0.690597,1,0
221,0.982891,0.471077,0.285462,0.66427,1,0
222,0.987864,0.434867,0.252218,0.647186,0,0
223,0.995727,0.379748,0.234676,0.627924,0,0
224,0.997698,0.344288,0.177582,0.604981,0,0
225,0.822504,0.904286,0.674013,0.82143,1,0
226,0.846603,0.836658,0.595632,0.792928,0,0
227,0.873416,0.801005,0.558198,0.785028,1,0
228,0.895656,0.754271,0.500983,0.767237,1,0
229,0.914213,0.695213,0.477463,0.750213,1,0
230,0.933143,0.650255,0.432403,0.733984,1,0
231,0.94775,0.601656,0.396896,0.716446,1,0
232,0.959691,0.553929,0.362096,0.698155,0,0
233,0.97046,0.525433,0.330334,0.686675,0,0
234,0.98128,0.459548,0.291197,0.660657,0,0
235,0.991442,0.424161,0.242994,0.643204,1,0
236,0.99322,0.379797,0.215289,0.622936,0,0
237,0.999402,0.332619,0.163824,0.598913,1,0
238,0.8457,0.829668,0.580579,0.787065,0,0
239,0.874179,0.775613,0.545589,0.773963,1,0
240,0.895023,0.726881,0.502119,0.757592,0,0
241,0.911764,0.70311,0.461033,0.748589,0,0
242,0.929653,0.656859,0.438994,0.736043,0,0
243,0.948783,0.599256,0.381321,0.712956,1,0
244,0.961387,0.564773,0.348448,0.699984,0,0
245,0.974333,0.510589,0.329979,0.683152,0,0
246,0.982171,0.450564,0.282997,0.656274,0,0
247,0.990241,0.415083,0.250968,0.641081,0,0
248,0.995427,0.378519,0.220213,0.624467,0,0
249,0.995404,0.313471,0.182611,0.594169,0,0
250,0.872415,0.769643,0.543287,0.770619,0,0
251,0.891891,0.743362,0.490456,0.759619,0,0
252,0.911744,0.684677,0.470526,0.744027,0,0
253,0.932453,0.64971,0.433556,0.733713,0,0
254,0.946454,0.601222,0.368516,0.710036,0,0
255,0.962833,0.547264,0.334909,0.691799,1,0
256,0.97316,0.511032,0.303757,0.677534,0,0
257,0.979872,0.464784,0.275128,0.658642,0,0
258,0.991227,0.40626,0.250728,0.638389,0,0
259,0.996719,0.36861,0.19951,0.617439,0,0
260,0.997934,0.306093,0.151859,0.586574,0,0
261,0.89436,0.715108,0.48546,0.749842,0,0
262,0.915429,0.671033,0.44037,0.734878,1,0
263,0.933408,0.636376,0.422451,0.727255,1,0
264,0.945736,0.585844,0.384772,0.707581,0,0
265,0.959638,0.52984,0.351191,0.687519,0,0
266,0.973385,0.501114,0.313645,0.676142,0,0
267,0.980745,0.445367,0.254073,0.648028,0,0
268,0.98919,0.402742,0.220466,0.630189,0,0
269,0.996553,0.343399,0.188123,0.606263,0,0
270,0.997591,0.299634,0.149534,0.583695,0,0
271,0.915296,0.662688,0.451035,0.734031,0,0
272,0.931877,0.633887,0.400397,0.721284,0,0
273,0.950242,0.58183,0.354756,0.7022,1,0
274,0.960011,0.533738,0.339217,0.686657,0,0
275,0.971464,0.472854,0.284777,0.659613,0,0
276,0.984772,0.43245,0.25703,0.645911,0,0
277,0.987884,0.390846,0.235554,0.628455,0,0
278,0.994774,0.349372,0.180818,0.606092,0,0
279,0.998409,0.288621,0.162919,0.582885,0,0
280,0.932498,0.609936,0.403169,0.713735,0,0
281,0.947102,0.561681,0.351625,0.693109,0,0
282,0.959916,0.513668,0.334006,0.678547,0,0
283,0.974095,0.478355,0.287082,0.663184,0,0
284,0.980702,0.430574,0.252142,0.642445,0,0
285,0.989188,0.383891,0.221485,0.623793,0,0
286,0.993778,0.32968,0.171937,0.596976,0,0
287,0.997401,0.296417,0.154674,0.583511,0,0
288,0.947205,0.550506,0.354412,0.689802,0,0
289,0.960306,0.51934,0.30635,0.675177,0,0
290,0.975061,0.469524,0.2692,0.656951,0,0
291,0.981213,0.422723,0.246302,0.638759,0,0
292,0.9881,0.37694,0.198643,0.616302,0,0
293,0.993055,0.324553,0.173476,0.595164,0,0
294,0.99941,0.272968,0.127077,0.570689,0,0
295,0.960371,0.508573,0.299834,0.670134,0,0
296,0.975108,0.460395,0.285422,0.657021,0,0
297,0.982348,0.412603,0.239628,0.634393,0,0
298,0.991314,0.366289,0.188876,0.612068,0,0
299,0.995807,0.320029,0.175438,0.595211,0,0
300,0.997929,0.280021,0.126066,0.572289,0,0
301,0.974531,0.460078,0.276561,0.654878,0,0
302,0.984024,0.407849,0.21822,0.629202,0,0
303,0.98895,0.355727,0.182148,0.605962,0,0
304,0.995357,0.325239,0.172478,0.59624,0,0
305,0.996903,0.256187,0.13581,0.565434,0,0
306,0.982321,0.386651,0.222567,0.621886,0,0
307,0.989178,0.358309,0.19698,0.609934,0,0
308,0.994809,0.31704,0.156623,0.589953,0,0
309,0.999462,0.256979,0.130726,0.565846,0,0
310,0.98923,0.341032,0.193281,0.603171,0,0
311,0.994321,0.307474,0.141338,0.583328,0,0
312,0.998419,0.255591,0.113558,0.561457,0,0
313,0.993601,0.290662,0.143032,0.577458,0,0
314,0.997101,0.239576,0.091674,0.550881,0,0
315,0.997601,0.236403,0.095613,0.550784,0,0
316,0.995525,0.214764,0.175318,0.558217,0,0
317,0.989561,0.242942,0.209225,0.572177,0,0
318,0.978226,0.296083,0.269481,0.597727,0,0
319,0.963991,0.348028,0.305197,0.616645,0,0
320,0.946234,0.400777,0.336487,0.633375,0,0
321,0.921831,0.435008,0.377459,0.642568,0,0
322,0.896138,0.495406,0.431478,0.66295,0,0
323,0.859862,0.521131,0.474193,0.664172,0,0
324,0.826462,0.574553,0.512948,0.675591,0,0
325,0.781988,0.631847,0.529806,0.679002,0,0
326,0.740485,0.661169,0.572546,0.679137,0,0
327,0.689048,0.702863,0.628037,0.681681,0,0
328,0.636844,0.765183,0.651129,0.684619,0,0
329,0.575495,0.812013,0.702181,0.683614,0,0
330,0.512869,0.845535,0.736552,0.674038,0,0
331,0.449139,0.906867,0.77167,0.67385,0,0
332,0.996343,0.168463,0.122069,0.53173,0,0
333,0.994694,0.222019,0.175867,0.560493,0,0
334,0.989428,0.255769,0.21183,0.577128,0,0
335,0.975251,0.310348,0.243343,0.596153,0,0
336,0.966618,0.347186,0.277947,0.612082,0,0
337,0.949919,0.401883,0.320457,0.632214,0,0
338,0.931042,0.438992,0.355599,0.643736,0,0
339,0.911849,0.50078,0.421059,0.669817,0,0
340,0.888969,0.545794,0.4533,0.681724,0,0
341,0.861681,0.57985,0.489362,0.688576,0,0
342,0.832676,0.639117,0.543275,0.70705,0,0
343,0.79698,0.677665,0.578551,0.711534,0,0
344,0.765084,0.714949,0.607206,0.715961,0,0
345,0.728479,0.756715,0.646072,0.72188,0,0
346,0.686894,0.817455,0.689178,0.733047,0,0
347,0.644501,0.865698,0.723927,0.737805,0,0
348,0.994324,0.316308,0.392496,0.636653,0,0
349,0.982148,0.3673,0.425058,0.655533,0,0
350,0.957754,0.414517,0.465,0.66907,0,0
351,0.927024,0.440018,0.495361,0.670239,0,0
352,0.88652,0.487633,0.54797,0.679199,0,0
353,0.840424,0.551156,0.594278,0.689951,0,0
354,0.780081,0.576754,0.630581,0.679017,0,0
355,0.714893,0.625073,0.656554,0.671788,0,0
356,0.639183,0.682824,0.707014,0.668023,0,0
357,0.552893,0.73364,0.734267,0.652429,0,0
358,0.461469,0.776817,0.790974,0.637742,0,0
359,0.357966,0.817767,0.823488,0.612001,0,0
360,0.247467,0.871293,0.859052,0.588123,0,0
361,0.129881,0.919355,0.889314,0.558084,0,0
362,0.0,0.964788,0.958738,0.529423,0,1
363,0.0,0.990629,1.0,0.54672,0,1
364,0.996105,0.188259,0.153811,0.5449,0,0
365,0.994922,0.237251,0.19273,0.569299,0,0
366,0.982433,0.290779,0.243596,0.592587,0,0
367,0.971236,0.333278,0.278388,0.609381,0,0
368,0.956268,0.373273,0.317824,0.624531,0,0
369,0.934131,0.412528,0.362681,0.63728,0,0
370,0.912349,0.464219,0.389951,0.651024,0,0
371,0.887613,0.521992,0.441539,0.670431,0,0
372,0.857901,0.564443,0.495417,0.682694,0,0
373,0.820833,0.598874,0.520018,0.682985,0,0
374,0.783071,0.649491,0.554151,0.690534,0,0
375,0.743324,0.685206,0.595475,0.693413,0,0
376,0.697281,0.750443,0.645436,0.705519,0,0
377,0.653007,0.783696,0.672319,0.70261,0,0
378,0.600632,0.827466,0.719463,0.70379,0,0
379,0.544365,0.885715,0.763262,0.707617,0,0
380,0.996665,0.243583,0.222819,0.578317,0,0
381,0.990754,0.279771,0.267155,0.59719,0,0
382,0.976639,0.343057,0.301682,0.619894,0,0
383,0.956976,0.37732,0.327118,0.628125,0,0
384,0.935019,0.430693,0.367249,0.644951,0,0
385,0.905099,0.474784,0.417232,0.656915,0,0
386,0.869568,0.525516,0.458999,0.667036,0,0
387,0.831193,0.564697,0.484126,0.668506,0,0
388,0.783016,0.595727,0.548633,0.670588,0,0
389,0.735497,0.663964,0.583205,0.680002,0,0
390,0.679659,0.705453,0.615381,0.675832,0,0
391,0.617653,0.753287,0.649876,0.671569,0,0
392,0.551607,0.79589,0.683091,0.663403,0,0
393,0.477713,0.836876,0.734468,0.654771,0,0
394,0.39808,0.885539,0.78366,0.645806,0,0
395,0.315235,0.931424,0.818075,0.631469,0,0
396,0.99675,0.178274,0.124377,0.535809,0,0
397,0.995059,0.225754,0.164639,0.559718,0,0
398,0.991634,0.271129,0.212882,0.583707,0,0
399,0.980199,0.32802,0.245003,0.604897,0,0
400,0.969317,0.369914,0.30545,0.626753,0,0
401,0.960123,0.415661,0.352852,0.648107,0,0
402,0.944498,0.444457,0.367756,0.654135,0,0
403,0.927662,0.491402,0.410817,0.671602,0,0
404,0.90932,0.546566,0.470223,0.694537,0,0
405,0.886419,0.586139,0.497366,0.703511,0,0
406,0.860079,0.634646,0.537749,0.716712,0,0
407,0.836874,0.685265,0.595945,0.735625,0,0
408,0.805998,0.722879,0.62656,0.741019,0,0
409,0.775936,0.78403,0.665722,0.756726,0,0
410,0.743004,0.830201,0.7091,0.766742,0,0
411,0.706627,0.857392,0.73742,0.765554,0,0
412,0.998602,0.220679,0.18122,0.562852,0,0
413,0.997241,0.253293,0.224891,0.582389,0,0
414,0.995359,0.311221,0.273122,0.611464,0,0
415,0.988045,0.364107,0.31731,0.635519,0,0
416,0.983061,0.411828,0.342836,0.655084,0,0
417,0.971984,0.449669,0.3813,0.671037,0,0
418,0.96238,0.487831,0.446972,0.693206,0,0
419,0.95147,0.550307,0.474911,0.715751,0,0
420,0.939152,0.57563,0.502586,0.724606,0,0
421,0.925971,0.643076,0.568239,0.755411,0,0
422,0.908554,0.680127,0.581502,0.763194,0,0
423,0.891878,0.73499,0.630325,0.784657,0,1
424,0.871487,0.781709,0.678866,0.801541,0,1
425,0.851241,0.822504,0.722859,0.815507,1,1
426,0.829309,0.859754,0.743267,0.822756,1,1
427,0.804132,0.899897,0.788432,0.83451,0,1
428,0.997836,0.166359,0.125163,0.532285,0,0
429,0.994136,0.213793,0.163484,0.554886,0,0
430,0.9894,0.25626,0.197645,0.57445,0,0
431,0.980424,0.307881,0.255841,0.600117,0,0
432,0.968782,0.341856,0.303689,0.616339,0,0
433,0.95522,0.376826,0.327148,0.627168,0,0
434,0.936185,0.441967,0.36426,0.648824,0,0
435,0.9175,0.48618,0.423386,0.667715,0,0
436,0.896369,0.522981,0.457871,0.677983,0,0
437,0.873651,0.559909,0.482477,0.685606,0,0
438,0.844044,0.62941,0.529307,0.705975,0,0
439,0.81888,0.659734,0.583362,0.716075,0,0
440,0.787301,0.707514,0.615363,0.724988,0,0
441,0.749086,0.759037,0.637065,0.730164,0,0
442,0.712834,0.803926,0.699231,0.741995,0,0
443,0.676475,0.852158,0.717152,0.746099,0,0
