architecture_id,input_vectors,ssim,ncc,mae,mre,mred,accuracy_rank
161,1000000,0.977837,0.991023,2700.34,0.046765,0.027985,252
162,1000000,0.985062,0.993947,1870.495,0.031473,0.019388,218
163,1000000,0.991574,0.996585,1047.464,0.017731,0.011181,168
164,1000000,0.995676,0.998253,526.258,0.009216,0.004429,102
165,1000000,0.998481,0.99939,188.383,0.003318,0.000644,15
166,1000000,0.928848,0.971168,8566.342,0.149861,0.092876,384
167,1000000,0.943929,0.97728,6795.966,0.118127,0.072843,360
168,1000000,0.957532,0.982788,5153.084,0.089379,0.056193,327
169,1000000,0.968797,0.987351,3762.672,0.065625,0.041804,294
170,1000000,0.977798,0.991007,2707.129,0.046846,0.02803,253
171,1000000,0.98591,0.994291,1754.1,0.029685,0.018291,211
172,1000000,0.991702,0.996636,1054.384,0.017448,0.011146,167
173,1000000,0.996235,0.998478,441.583,0.008001,0.004108,90
174,1000000,0.998338,0.999325,197.865,0.003467,0.002542,66
175,1000000,0.943705,0.977186,6820.121,0.118513,0.074106,365
176,1000000,0.95658,0.982403,5237.972,0.091399,0.05726,336
177,1000000,0.96892,0.987405,3751.593,0.065442,0.04078,288
178,1000000,0.977551,0.990904,2720.272,0.047307,0.029014,260
179,1000000,0.985291,0.99404,1780.126,0.030986,0.019128,217
180,1000000,0.99147,0.996543,1026.478,0.01797,0.011094,165
181,1000000,0.995474,0.998166,535.61,0.009539,0.005829,113
182,1000000,0.999162,0.99966,127.796,0.001763,0.001122,31
183,1000000,0.956424,0.982345,5304.611,0.091848,0.05611,326
184,1000000,0.968876,0.987383,3791.92,0.065447,0.041812,295
185,1000000,0.978376,0.991233,2665.476,0.045442,0.029387,262
186,1000000,0.985552,0.994149,1819.44,0.030526,0.017792,204
187,1000000,0.99134,0.996495,1072.132,0.018334,0.010249,150
188,1000000,0.996192,0.998457,469.02,0.00803,0.004868,107
189,1000000,0.998084,0.999225,212.52,0.004072,0.002099,60
190,1000000,0.967761,0.986938,3948.828,0.067939,0.041659,291
191,1000000,0.97766,0.990949,2749.592,0.047095,0.028669,256
192,1000000,0.985122,0.993976,1858.085,0.031459,0.018046,208
193,1000000,0.991734,0.996652,1022.09,0.017438,0.010478,154
194,1000000,0.995799,0.998302,561.774,0.008949,0.004349,100
195,1000000,0.998243,0.999295,262.232,0.003853,0.000584,10
196,1000000,0.978358,0.991229,2651.979,0.045543,0.028684,257
197,1000000,0.986008,0.994333,1752.915,0.029537,0.01752,203
198,1000000,0.992311,0.996885,981.491,0.016206,0.009891,144
199,1000000,0.996352,0.998519,474.329,0.007615,0.005529,112
200,1000000,0.999072,0.999627,164.384,0.002027,0.000387,6
201,1000000,0.986423,0.994494,1665.016,0.028494,0.018859,215
202,1000000,0.99157,0.996585,1057.843,0.017773,0.010805,161
203,1000000,0.996231,0.998471,442.004,0.007904,0.005311,109
204,1000000,0.999166,0.99966,94.588,0.001701,0.001707,45
205,1000000,0.991901,0.996719,1009.528,0.017081,0.010326,152
206,1000000,0.996398,0.998538,440.771,0.007545,0.005173,108
207,1000000,0.998625,0.999447,162.595,0.002982,0.000822,18
208,1000000,0.996928,0.998755,363.019,0.006468,0.004023,88
209,1000000,0.998886,0.999547,119.809,0.002319,0.00176,48
210,1000000,0.999415,0.999761,99.631,0.001198,0.001161,33
211,1000000,0.92,0.953,8167.0,0.126,0.0827805237382172,370
212,1000000,0.949738,0.979612,6115.388,0.105402,0.070773,356
213,1000000,0.957047,0.982579,5262.84,0.090126,0.05991,341
214,1000000,0.963647,0.98525,4460.627,0.076148,0.05217,321
215,1000000,0.969352,0.987574,3808.345,0.064405,0.041659,292
216,1000000,0.975183,0.989932,3071.204,0.052023,0.03518,280
217,1000000,0.980262,0.991996,2428.431,0.041446,0.027187,249
218,1000000,0.985206,0.993995,1843.714,0.030929,0.021904,230
219,1000000,0.988032,0.995151,1475.356,0.025229,0.015383,186
220,1000000,0.991547,0.996578,1052.627,0.017888,0.010092,148
221,1000000,0.994247,0.997672,783.459,0.012176,0.006839,126
222,1000000,0.996845,0.998719,422.295,0.00658,0.004851,106
223,1000000,0.997419,0.998961,345.343,0.005585,0.001708,46
224,1000000,0.998703,0.999477,201.101,0.002802,0.00092,23
225,1000000,0.948604,0.979158,6288.461,0.107908,0.070951,357
226,1000000,0.956483,0.982348,5359.652,0.091254,0.061318,342
227,1000000,0.963872,0.985347,4448.736,0.075786,0.0506,317
228,1000000,0.970152,0.987894,3644.101,0.062621,0.04171,293
229,1000000,0.97595,0.990243,2980.852,0.050396,0.034292,273
230,1000000,0.980594,0.992131,2430.862,0.040749,0.026725,246
231,1000000,0.98444,0.993692,1961.753,0.032721,0.020886,224
232,1000000,0.987938,0.995111,1527.508,0.025372,0.016113,193
233,1000000,0.991508,0.996556,1070.9,0.017821,0.011808,175
234,1000000,0.994319,0.997698,764.339,0.011959,0.007483,134
235,1000000,0.996019,0.998394,497.919,0.008542,0.003421,78
236,1000000,0.998104,0.999231,258.002,0.003973,0.00271,70
237,1000000,0.999021,0.999608,150.757,0.002153,0.000239,5
238,1000000,0.95642,0.982321,5329.974,0.091362,0.061679,343
239,1000000,0.963572,0.985227,4438.387,0.076481,0.050295,315
240,1000000,0.969844,0.98777,3695.552,0.063284,0.041963,296
241,1000000,0.975865,0.990205,3006.069,0.050499,0.035271,282
242,1000000,0.980228,0.991979,2493.218,0.041438,0.02812,254
243,1000000,0.984571,0.993747,1895.595,0.032467,0.020473,223
244,1000000,0.988265,0.995244,1492.027,0.024706,0.015435,187
245,1000000,0.991299,0.996479,1117.738,0.018423,0.01026,151
246,1000000,0.994285,0.997685,705.077,0.012067,0.007127,131
247,1000000,0.996719,0.998672,447.94,0.006944,0.003901,87
248,1000000,0.99747,0.998981,352.023,0.005461,0.001828,50
249,1000000,0.999031,0.999605,151.501,0.00199,0.001837,51
250,1000000,0.96354,0.985212,4460.721,0.076488,0.051,318
251,1000000,0.970014,0.987833,3680.241,0.062795,0.043215,302
252,1000000,0.975366,0.990005,3054.368,0.051606,0.035279,283
253,1000000,0.98039,0.992048,2413.551,0.041178,0.027001,248
254,1000000,0.985026,0.993925,1880.598,0.031373,0.021404,227
255,1000000,0.988356,0.995283,1475.293,0.024555,0.014857,184
256,1000000,0.991338,0.996492,1119.557,0.018296,0.010729,158
257,1000000,0.995014,0.997974,650.291,0.010364,0.008046,141
258,1000000,0.996955,0.998768,410.797,0.006455,0.003507,82
259,1000000,0.9987,0.9993,10300.0,0.0202,0.0013114184025630454,38
260,1000000,0.998301,0.999317,192.52,0.003701,0.000826,19
261,1000000,0.969439,0.987607,3782.308,0.064159,0.042228,297
262,1000000,0.975506,0.990067,3058.382,0.051427,0.033806,269
263,1000000,0.979888,0.991849,2507.646,0.042328,0.026619,245
264,1000000,0.985058,0.993937,1865.74,0.031276,0.021691,229
265,1000000,0.988217,0.995222,1464.502,0.02475,0.016134,194
266,1000000,0.9916,0.996598,1105.921,0.01772,0.010639,156
267,1000000,0.99458,0.997801,680.507,0.011361,0.007697,137
268,1000000,0.996915,0.998749,447.505,0.006471,0.004321,97
269,1000000,0.998131,0.999247,258.862,0.004031,0.001378,40
270,1000000,0.999136,0.99965,121.173,0.001835,0.000963,25
271,1000000,0.975649,0.990124,2988.442,0.051104,0.033859,270
272,1000000,0.980318,0.992018,2425.123,0.041317,0.027231,250
273,1000000,0.984674,0.99379,1941.912,0.032289,0.01989,221
274,1000000,0.988531,0.995348,1434.597,0.024066,0.015985,191
275,1000000,0.991813,0.99668,1079.054,0.017179,0.011407,170
276,1000000,0.994734,0.997869,686.779,0.011161,0.006087,117
277,1000000,0.996574,0.99861,477.777,0.007183,0.004843,105
278,1000000,0.998242,0.999288,234.786,0.003721,0.002089,59
279,1000000,0.998712,0.999482,184.855,0.002805,0.000636,13
280,1000000,0.981134,0.992346,2382.732,0.039526,0.026983,247
281,1000000,0.985287,0.99403,1851.073,0.030816,0.021145,226
282,1000000,0.988405,0.995298,1488.115,0.024343,0.016023,192
283,1000000,0.992312,0.996883,1000.821,0.016165,0.010355,153
284,1000000,0.994386,0.997723,685.047,0.011791,0.007714,138
285,1000000,0.997372,0.998932,383.897,0.005455,0.004322,98
286,1000000,0.997547,0.999009,318.2,0.00523,0.002487,65
287,1000000,0.999612,0.999841,87.33,0.00077,0.001039,28
288,1000000,0.98522,0.994004,1879.996,0.030969,0.021104,225
289,1000000,0.989572,0.995765,1297.077,0.021763,0.015867,189
290,1000000,0.992407,0.996923,975.76,0.015987,0.009969,147
291,1000000,0.994728,0.997861,653.798,0.011048,0.00751,135
292,1000000,0.997414,0.998946,352.406,0.005324,0.004757,103
293,1000000,0.99863,0.999441,157.508,0.002797,0.002776,71
294,1000000,0.999227,0.99969,90.247,0.001696,0.000236,4
295,1000000,0.989696,0.995815,1330.321,0.021491,0.015841,188
296,1000000,0.992072,0.996789,1010.743,0.016733,0.00995,146
297,1000000,0.995117,0.998019,644.782,0.010224,0.007056,128
298,1000000,0.997072,0.998815,419.807,0.006198,0.003472,81
299,1000000,0.998803,0.999515,168.48,0.00251,0.001676,44
300,1000000,0.999579,0.999828,68.666,0.000862,0.000828,20
301,1000000,0.991711,0.996644,1097.866,0.017516,0.010181,149
302,1000000,0.994795,0.997892,682.757,0.011,0.006386,120
303,1000000,0.996754,0.998684,391.248,0.00682,0.004417,101
304,1000000,0.99832,0.99932,261.993,0.003569,0.001856,53
305,1000000,0.99957,0.999823,70.369,0.000846,0.001238,34
306,1000000,0.995254,0.998073,626.121,0.009919,0.007067,129
307,1000000,0.996842,0.998719,429.516,0.006633,0.004326,99
308,1000000,0.998071,0.99922,292.064,0.004103,0.002075,58
309,1000000,0.999198,0.999678,108.933,0.001764,0.000215,3
310,1000000,0.997048,0.998802,358.167,0.006176,0.004305,96
311,1000000,0.99887,0.999539,132.585,0.00231,0.00227,63
312,1000000,0.999948,0.999977,55.052,5.9e-05,0.000632,12
313,1000000,0.998613,0.999435,215.749,0.002855,0.002558,67
314,1000000,0.999832,0.999928,27.854,0.000271,0.001159,32
315,1000000,0.999171,0.999665,100.366,0.001757,0.000959,24
316,1000000,0.99985,0.999933,0.0,0.000174,0.001789,49
317,1000000,0.996813,0.998708,425.165,0.006712,0.004173,92
318,1000000,0.993625,0.997415,823.069,0.013393,0.008704,142
319,1000000,0.990043,0.99596,1194.987,0.020847,0.014394,183
320,1000000,0.98415,0.993574,1966.002,0.033313,0.021492,228
321,1000000,0.977002,0.990676,2840.411,0.04833,0.031247,266
322,1000000,0.96846,0.987218,3828.249,0.066399,0.041517,290
323,1000000,0.96015,0.983836,4838.904,0.083575,0.056018,324
324,1000000,0.948255,0.979024,6239.607,0.108824,0.069369,350
325,1000000,0.936311,0.974176,7682.975,0.133784,0.087147,378
326,1000000,0.923658,0.969048,9253.884,0.160428,0.103737,394
327,1000000,0.90923,0.963195,10908.24,0.190663,0.124298,408
328,1000000,0.892667,0.956486,12925.534,0.225615,0.145166,420
329,1000000,0.875842,0.949658,14968.232,0.260824,0.169689,426
330,1000000,0.857848,0.94236,17052.443,0.298586,0.194723,431
331,1000000,0.838307,0.934442,19418.721,0.339745,0.220198,435
332,1000000,0.999679,0.999866,9.598,0.000584,0.001462,41
333,1000000,0.998543,0.999409,236.318,0.003049,0.002121,61
334,1000000,0.995871,0.998331,554.095,0.008801,0.004226,94
335,1000000,0.993357,0.997303,829.106,0.013883,0.009893,145
336,1000000,0.989936,0.995921,1236.375,0.021179,0.013344,182
337,1000000,0.984808,0.993843,1903.982,0.031982,0.020019,222
338,1000000,0.979757,0.991792,2462.907,0.042534,0.027565,251
339,1000000,0.973453,0.98924,3238.186,0.05586,0.035237,281
340,1000000,0.966813,0.986548,4091.088,0.069803,0.044383,306
341,1000000,0.959512,0.983584,4975.408,0.085059,0.055291,322
342,1000000,0.950763,0.980038,6032.101,0.10347,0.066885,347
343,1000000,0.941737,0.97637,7047.181,0.122259,0.081154,369
344,1000000,0.931388,0.97218,8298.986,0.144124,0.093904,387
345,1000000,0.919644,0.967424,9701.207,0.168921,0.108536,396
346,1000000,0.90759,0.962536,11169.859,0.194229,0.125159,409
347,1000000,0.895756,0.957734,12618.122,0.219023,0.142105,418
348,1000000,0.998644,0.999448,171.013,0.002813,0.002269,62
349,1000000,0.994417,0.997738,661.817,0.011772,0.007136,132
350,1000000,0.988245,0.995231,1396.55,0.024621,0.016887,196
351,1000000,0.978763,0.991389,2577.598,0.0446,0.029171,261
352,1000000,0.96748,0.986811,3890.059,0.068234,0.045362,312
353,1000000,0.95318,0.981017,5657.044,0.098374,0.063788,345
354,1000000,0.936204,0.97413,7632.347,0.133955,0.087909,379
355,1000000,0.917257,0.966447,9893.699,0.173742,0.113967,397
356,1000000,0.894867,0.95737,12605.601,0.220809,0.144231,419
357,1000000,0.87004,0.947301,15562.032,0.272913,0.178724,427
358,1000000,0.842565,0.936165,18807.644,0.330721,0.215269,434
359,1000000,0.812274,0.923883,22461.15,0.394355,0.256643,438
360,1000000,0.779655,0.910659,26313.971,0.462916,0.300813,440
361,1000000,0.744981,0.896601,30455.372,0.535792,0.347816,441
362,1000000,0.707218,0.881288,34930.467,0.615095,0.399734,442
363,1000000,0.300099,0.67004,56701.531,0.99978,5000.0,443
364,1000000,0.999914,0.99996,0.0,5.2e-05,0.001557,42
365,1000000,0.997502,0.998993,299.148,0.00537,0.00203,57
366,1000000,0.994967,0.997959,643.157,0.01056,0.007022,127
367,1000000,0.991548,0.996573,1045.778,0.017759,0.011498,171
368,1000000,0.987506,0.994933,1564.117,0.02621,0.017481,202
369,1000000,0.98089,0.992251,2368.796,0.040126,0.02633,240
370,1000000,0.973849,0.989399,3193.572,0.054999,0.035037,277
371,1000000,0.966598,0.986459,4092.746,0.070234,0.044925,310
372,1000000,0.958233,0.983066,5112.436,0.087766,0.056802,331
373,1000000,0.948095,0.978952,6303.167,0.108978,0.071619,358
374,1000000,0.936562,0.974278,7721.46,0.133265,0.086714,376
375,1000000,0.924591,0.969426,9132.139,0.158455,0.102602,392
376,1000000,0.91262,0.964564,10571.729,0.183423,0.121007,407
377,1000000,0.898297,0.958764,12284.986,0.213677,0.138705,413
378,1000000,0.88313,0.952613,14042.408,0.245521,0.159641,422
379,1000000,0.866215,0.945758,16098.754,0.28111,0.182133,429
380,1000000,0.999692,0.999871,8.446,0.000566,0.001333,39
381,1000000,0.996567,0.998612,434.084,0.007301,0.003696,85
382,1000000,0.993197,0.997241,867.017,0.014288,0.009338,143
383,1000000,0.987126,0.994782,1552.845,0.027081,0.017198,199
384,1000000,0.981108,0.992339,2320.977,0.039673,0.025975,239
385,1000000,0.97167,0.988516,3463.474,0.059584,0.037935,286
386,1000000,0.961758,0.984495,4619.493,0.080348,0.052138,320
387,1000000,0.949707,0.979613,6082.106,0.105765,0.067478,348
388,1000000,0.937022,0.974462,7596.511,0.13224,0.086736,377
389,1000000,0.921717,0.968264,9429.481,0.164564,0.105731,395
390,1000000,0.905412,0.961653,11371.082,0.198814,0.128051,410
391,1000000,0.887964,0.954574,13447.621,0.235384,0.152837,421
392,1000000,0.868293,0.9466,15838.136,0.27675,0.179238,428
393,1000000,0.847384,0.938118,18325.605,0.32059,0.208776,433
394,1000000,0.824262,0.928742,21090.986,0.369141,0.240608,437
395,1000000,0.800629,0.919157,23844.851,0.418716,0.273724,439
396,1000000,0.999948,0.999974,42.969,0.0,0.001299,37
397,1000000,0.998553,0.999413,216.507,0.00304,0.001975,56
398,1000000,0.99713,0.998839,347.257,0.006081,0.003344,77
399,1000000,0.994857,0.997911,671.373,0.010724,0.007915,140
400,1000000,0.991151,0.996411,1086.493,0.018574,0.012265,179
401,1000000,0.987507,0.994939,1579.656,0.026346,0.01594,190
402,1000000,0.983576,0.993342,2033.485,0.034525,0.022186,231
403,1000000,0.97881,0.991408,2600.748,0.044519,0.028916,259
404,1000000,0.972907,0.989018,3346.425,0.056985,0.036248,284
405,1000000,0.965995,0.986217,4199.65,0.07153,0.045402,313
406,1000000,0.959047,0.983395,4993.877,0.086035,0.055931,323
407,1000000,0.952307,0.980662,5836.889,0.100189,0.065207,346
408,1000000,0.943074,0.976919,6914.067,0.119609,0.077549,367
409,1000000,0.934033,0.973255,8049.01,0.138631,0.089566,380
410,1000000,0.924349,0.969329,9226.458,0.158983,0.10273,393
411,1000000,0.914222,0.96522,10414.893,0.180193,0.117271,404
412,1000000,0.999275,0.999708,74.301,0.001561,0.000559,9
413,1000000,0.999695,0.999874,44.988,0.00058,0.001103,29
414,1000000,0.998332,0.999325,242.754,0.003543,0.001855,52
415,1000000,0.99669,0.998657,412.165,0.006931,0.004779,104
416,1000000,0.994008,0.997576,817.472,0.012714,0.006771,125
417,1000000,0.991479,0.996547,1098.225,0.017941,0.011199,169
418,1000000,0.989113,0.995585,1412.759,0.022857,0.015038,185
419,1000000,0.98519,0.993998,1898.886,0.031188,0.019399,219
420,1000000,0.981736,0.992597,2295.021,0.038424,0.024323,232
421,1000000,0.978194,0.991159,2697.539,0.045828,0.029592,264
422,1000000,0.972476,0.988844,3443.407,0.057916,0.036554,285
423,1000000,0.96789,0.986983,3962.341,0.067514,0.04322,303
424,1000000,0.962381,0.984747,4649.129,0.079032,0.051371,319
425,1000000,0.956738,0.982457,5311.726,0.090851,0.059464,340
