architecture_id,technology_node_nm,supply_voltage,clock_mhz,energy_saving_pct,area_saving_pct,power_mw,area_um2,delay_ns,pdp,edp
59,65,1.25,200,38.2632,27.2767,0.77171,727.233,4.78125,3.689737,17.641556
60,65,1.25,200,33.6316,25.069,0.829605,749.31,4.890625,4.057287,19.842667
61,65,1.25,200,68.0824,49.7852,0.39897,502.148,4.015625,1.602115,6.433491
62,65,1.25,200,63.31,46.4673,0.458625,535.327,4.125,1.891829,7.803796
63,65,1.25,200,60.5245,44.4806,0.493444,555.194,4.234375,2.089428,8.84742
64,65,1.25,200,56.1114,41.2455,0.548608,587.545,4.34375,2.383014,10.351218
65,65,1.25,200,49.7986,38.5217,0.627518,614.783,4.453125,2.794415,12.44388
66,65,1.25,200,45.1024,34.0995,0.68622,659.005,4.5625,3.130879,14.284635
67,65,1.25,200,41.9709,32.2117,0.725364,677.883,4.671875,3.388809,15.832092
68,65,1.25,200,36.3466,26.8235,0.795667,731.765,4.78125,3.804284,18.189233
69,65,1.25,200,31.8864,25.6531,0.85142,743.469,4.890625,4.163978,20.364453
70,65,1.25,200,63.8496,48.23,0.45188,517.7,4.125,1.864007,7.689028
71,65,1.25,200,58.4467,45.1389,0.519416,548.611,4.234375,2.199403,9.313098
72,65,1.25,200,54.1628,40.4931,0.572965,595.069,4.34375,2.488819,10.810806
73,65,1.25,200,50.6433,37.2415,0.616958,627.585,4.453125,2.747392,12.23448
74,65,1.25,200,45.8009,34.5108,0.677489,654.892,4.5625,3.091044,14.102886
75,65,1.25,200,39.5207,30.8494,0.755992,691.506,4.671875,3.531898,16.500586
76,65,1.25,200,36.758,27.3773,0.790525,726.227,4.78125,3.779698,18.071681
77,65,1.25,200,31.0084,22.7617,0.862395,772.383,4.890625,4.21765,20.626945
78,65,1.25,200,58.3393,42.6457,0.520758,573.543,4.234375,2.205086,9.337162
79,65,1.25,200,53.6525,39.6681,0.579343,603.319,4.34375,2.516522,10.931143
80,65,1.25,200,49.3148,36.1468,0.633565,638.532,4.453125,2.821344,12.563796
81,65,1.25,200,43.2142,34.2861,0.709823,657.139,4.5625,3.238568,14.775966
82,65,1.25,200,39.4118,31.3323,0.757353,686.677,4.671875,3.538258,16.5303
83,65,1.25,200,34.6777,27.9691,0.816529,720.309,4.78125,3.904029,18.666139
84,65,1.25,200,31.7468,22.1226,0.853164,778.774,4.890625,4.172507,20.406168
85,65,1.25,200,52.9707,38.8673,0.587867,611.327,4.34375,2.553546,11.091967
86,65,1.25,200,48.8164,36.4398,0.639795,635.602,4.453125,2.849088,12.687346
87,65,1.25,200,44.6336,31.6248,0.69208,683.752,4.5625,3.157617,14.406626
88,65,1.25,200,39.2582,30.1002,0.759273,698.998,4.671875,3.547228,16.572204
89,65,1.25,200,33.3366,24.7883,0.833292,752.117,4.78125,3.984177,19.049347
90,65,1.25,200,30.5747,22.3132,0.867816,776.868,4.890625,4.244165,20.756618
91,65,1.25,200,47.047,35.5008,0.661913,644.992,4.453125,2.94758,13.125944
92,65,1.25,200,43.0335,32.5014,0.712082,674.986,4.5625,3.248872,14.822978
93,65,1.25,200,39.3116,28.3291,0.758606,716.709,4.671875,3.544111,16.557642
94,65,1.25,200,34.3189,25.582,0.821014,744.18,4.78125,3.925472,18.768662
95,65,1.25,200,29.2113,21.777,0.884858,782.23,4.890625,4.327511,21.164231
96,65,1.25,200,42.3746,30.6739,0.720318,693.261,4.5625,3.28645,14.994429
97,65,1.25,200,36.541,28.7224,0.793237,712.776,4.671875,3.705905,17.313524
98,65,1.25,200,32.9196,24.4336,0.838505,755.664,4.78125,4.009103,19.168525
99,65,1.25,200,28.523,20.7705,0.893462,792.295,4.890625,4.369589,21.370022
100,65,1.25,200,36.1278,27.2871,0.798402,727.129,4.671875,3.730035,17.42626
101,65,1.25,200,33.3475,23.5246,0.833156,764.754,4.78125,3.983527,19.046237
102,65,1.25,200,28.6089,20.7879,0.892388,792.121,4.890625,4.364337,21.344337
103,65,1.25,200,30.485,24.4879,0.868938,755.121,4.78125,4.15461,19.86423
104,65,1.25,200,26.7287,21.3038,0.915892,786.962,4.890625,4.479284,21.906496
105,65,1.25,200,25.9464,18.4083,0.92567,815.917,4.890625,4.527105,22.140375
106,65,1.25,200,98.0,84.7175,0.025,152.825,3.46875,0.086719,0.300806
107,65,1.25,200,95.1608,80.0103,0.06049,199.897,3.578125,0.216443,0.774458
108,65,1.25,200,90.0027,77.2431,0.124966,227.569,3.6875,0.460812,1.699243
109,65,1.25,200,87.4392,74.7963,0.15701,252.037,3.796875,0.596148,2.263498
110,65,1.25,200,82.4615,71.6965,0.219232,283.035,3.90625,0.856374,3.34521
111,65,1.25,200,77.7367,68.0098,0.278291,319.902,4.015625,1.117512,4.487508
112,65,1.25,200,72.8804,62.8148,0.338995,371.852,4.125,1.398355,5.768214
113,65,1.25,200,67.5949,59.5514,0.405064,404.486,4.234375,1.715194,7.262776
114,65,1.25,200,64.4625,55.9236,0.444218,440.764,4.34375,1.929574,8.381587
115,65,1.25,200,59.3484,53.5705,0.508145,464.295,4.453125,2.262833,10.076679
116,65,1.25,200,55.4007,50.7696,0.557492,492.304,4.5625,2.543556,11.604974
117,65,1.25,200,50.3937,46.1539,0.620079,538.461,4.671875,2.896932,13.534103
118,65,1.25,200,45.1204,45.3989,0.685995,546.011,4.78125,3.279912,15.68208
119,65,1.25,200,41.5565,40.7594,0.730543,592.406,4.890625,3.572813,17.47329
120,65,1.25,200,96.25,84.46,0.046875,155.4,3.578125,0.167725,0.60014
121,65,1.25,200,89.2583,77.8227,0.134272,221.773,3.6875,0.495127,1.825783
122,65,1.25,200,86.076,73.0474,0.17405,269.526,3.796875,0.660847,2.509152
123,65,1.25,200,81.6198,69.4396,0.229753,305.604,3.90625,0.897473,3.505752
124,65,1.25,200,77.5477,67.3472,0.280653,326.528,4.015625,1.126999,4.525604
125,65,1.25,200,72.4293,62.3595,0.344634,376.405,4.125,1.421617,5.864168
126,65,1.25,200,68.6659,59.7488,0.391676,402.512,4.234375,1.658504,7.022726
127,65,1.25,200,63.9857,55.3802,0.450179,446.198,4.34375,1.955463,8.494044
128,65,1.25,200,57.5511,52.3409,0.530611,476.591,4.453125,2.362878,10.522189
129,65,1.25,200,53.1014,49.5035,0.586232,504.965,4.5625,2.674684,12.203247
130,65,1.25,200,49.8618,46.2564,0.626728,537.436,4.671875,2.927994,13.679223
131,65,1.25,200,45.8707,44.4808,0.676617,555.192,4.78125,3.235073,15.467694
132,65,1.25,200,41.0959,39.3642,0.736302,606.358,4.890625,3.600975,17.61102
133,65,1.25,200,89.8398,76.0174,0.127003,239.826,3.6875,0.468323,1.726943
134,65,1.25,200,84.0692,72.0104,0.199136,279.896,3.796875,0.756093,2.870789
135,65,1.25,200,80.5022,69.2572,0.243722,307.428,3.90625,0.95204,3.718906
136,65,1.25,200,75.0797,67.174,0.311503,328.26,4.015625,1.250881,5.023069
137,65,1.25,200,70.4982,63.0695,0.368773,369.305,4.125,1.521187,6.274896
138,65,1.25,200,67.3108,59.6069,0.408615,403.931,4.234375,1.730231,7.326446
139,65,1.25,200,63.0564,56.1781,0.461794,438.219,4.34375,2.005919,8.713213
140,65,1.25,200,58.4681,51.3669,0.519149,486.331,4.453125,2.311836,10.294895
141,65,1.25,200,52.0497,49.7711,0.599378,502.289,4.5625,2.734664,12.476903
142,65,1.25,200,48.778,46.4857,0.640275,535.143,4.671875,2.991285,13.974908
143,65,1.25,200,44.6876,42.5164,0.691405,574.836,4.78125,3.305782,15.805768
144,65,1.25,200,39.8336,39.432,0.75208,605.68,4.890625,3.678143,17.988416
145,65,1.25,200,84.5083,71.3486,0.193646,286.514,3.796875,0.73525,2.791651
146,65,1.25,200,80.7522,68.5772,0.240597,314.228,3.90625,0.939833,3.671225
147,65,1.25,200,75.8406,65.8305,0.301992,341.695,4.015625,1.212687,4.869697
148,65,1.25,200,70.0763,60.8043,0.374046,391.957,4.125,1.542939,6.364622
149,65,1.25,200,64.9594,58.5184,0.438007,414.816,4.234375,1.854687,7.853441
150,65,1.25,200,61.431,54.5463,0.482113,454.537,4.34375,2.094179,9.096589
151,65,1.25,200,57.1779,51.5377,0.535277,484.623,4.453125,2.383654,10.614711
152,65,1.25,200,52.8991,49.4058,0.588762,505.942,4.5625,2.686225,12.255901
153,65,1.25,200,48.694,46.7685,0.641325,532.315,4.671875,2.996191,13.997829
154,65,1.25,200,42.3951,41.7625,0.720061,582.375,4.78125,3.442794,16.460857
155,65,1.25,200,38.8823,38.306,0.763971,616.94,4.890625,3.736295,18.272816
156,65,1.25,200,78.8102,67.3489,0.264873,326.511,3.90625,1.03466,4.041641
157,65,1.25,200,73.7388,63.5586,0.328266,364.414,4.015625,1.318191,5.293362
158,65,1.25,200,69.2934,61.0506,0.383833,389.494,4.125,1.58331,6.531153
159,65,1.25,200,65.5269,57.3577,0.430914,426.423,4.234375,1.82465,7.726253
160,65,1.25,200,61.5799,53.7972,0.480252,462.028,4.34375,2.086093,9.061468
161,65,1.25,200,55.7421,51.655,0.553224,483.45,4.453125,2.463575,10.970606
162,65,1.25,200,51.1599,48.8617,0.610501,511.383,4.5625,2.785412,12.708444
163,65,1.25,200,47.0583,44.8537,0.661771,551.463,4.671875,3.09171,14.444084
164,65,1.25,200,42.5126,40.9639,0.718592,590.361,4.78125,3.435768,16.427263
165,65,1.25,200,36.8244,39.4342,0.789695,605.658,4.890625,3.862104,18.888101
166,65,1.25,200,73.5912,65.3692,0.33011,346.308,4.015625,1.325598,5.323106
167,65,1.25,200,68.3476,60.3381,0.395655,396.619,4.125,1.632077,6.732318
168,65,1.25,200,63.4057,57.4232,0.457429,425.768,4.234375,1.936926,8.201672
169,65,1.25,200,60.8551,54.5569,0.489311,454.431,4.34375,2.125445,9.232401
170,65,1.25,200,55.32,50.9152,0.5585,490.848,4.453125,2.487068,11.075227
171,65,1.25,200,51.677,47.3066,0.604038,526.934,4.5625,2.755923,12.573899
172,65,1.25,200,47.2148,44.8245,0.659815,551.755,4.671875,3.082575,14.401405
173,65,1.25,200,42.3833,40.4996,0.720209,595.004,4.78125,3.443501,16.464238
174,65,1.25,200,36.9645,37.7593,0.787943,622.407,4.890625,3.853536,18.8462
175,65,1.25,200,67.5328,60.274,0.40584,397.26,4.125,1.67409,6.905622
176,65,1.25,200,62.6952,56.8244,0.46631,431.756,4.234375,1.97453,8.360901
177,65,1.25,200,59.8064,52.8832,0.502419,471.168,4.34375,2.182384,9.479732
178,65,1.25,200,55.7988,50.6926,0.552515,493.074,4.453125,2.460417,10.956546
179,65,1.25,200,49.1633,48.2052,0.635459,517.948,4.5625,2.899282,13.227975
180,65,1.25,200,45.2766,44.3882,0.684042,556.118,4.671875,3.19576,14.930191
181,65,1.25,200,40.5982,41.4791,0.742523,585.209,4.78125,3.550187,16.974331
182,65,1.25,200,37.0494,36.0949,0.786882,639.051,4.890625,3.848346,18.820818
183,65,1.25,200,62.975,56.1877,0.462812,438.123,4.234375,1.959721,8.298192
184,65,1.25,200,57.315,51.8587,0.533563,481.413,4.34375,2.317663,10.06735
185,65,1.25,200,53.4587,49.489,0.581767,505.11,4.453125,2.590679,11.536619
186,65,1.25,200,49.2093,46.5475,0.634884,534.525,4.5625,2.896659,13.216005
187,65,1.25,200,44.8028,42.4558,0.689965,575.442,4.671875,3.223428,15.059453
188,65,1.25,200,40.4901,38.68,0.743874,613.2,4.78125,3.556646,17.005212
189,65,1.25,200,36.8494,36.9826,0.789383,630.174,4.890625,3.860577,18.880633
190,65,1.25,200,57.1588,51.7918,0.535515,482.082,4.34375,2.326144,10.104188
191,65,1.25,200,53.8816,49.0281,0.576479,509.719,4.453125,2.567135,11.431773
192,65,1.25,200,49.0479,45.0644,0.636902,549.356,4.5625,2.905865,13.258008
193,65,1.25,200,44.7578,41.9439,0.690528,580.561,4.671875,3.226058,15.071741
194,65,1.25,200,39.8703,40.3437,0.751622,596.563,4.78125,3.593691,17.182337
195,65,1.25,200,35.1071,36.5184,0.811161,634.816,4.890625,3.967083,19.401517
196,65,1.25,200,52.8689,48.839,0.589139,511.61,4.453125,2.623508,11.682811
197,65,1.25,200,46.6452,44.9289,0.666935,550.711,4.5625,3.042891,13.883189
198,65,1.25,200,44.3553,42.4796,0.695558,575.204,4.671875,3.249561,15.181542
199,65,1.25,200,39.3503,38.5924,0.758121,614.076,4.78125,3.624768,17.330921
200,65,1.25,200,34.672,35.2964,0.8166,647.036,4.890625,3.993685,19.531617
201,65,1.25,200,46.2249,44.7363,0.672189,552.637,4.5625,3.066864,13.992566
202,65,1.25,200,42.7561,42.0178,0.715549,579.822,4.671875,3.342953,15.61786
203,65,1.25,200,37.0765,38.256,0.786543,617.44,4.78125,3.76066,17.980656
204,65,1.25,200,32.2508,35.6925,0.846865,643.075,4.890625,4.141701,20.255507
205,65,1.25,200,40.7669,39.0905,0.740414,609.095,4.671875,3.459122,16.160586
206,65,1.25,200,36.7091,36.149,0.791136,638.51,4.78125,3.782619,18.085649
207,65,1.25,200,33.0666,33.5616,0.836668,664.384,4.890625,4.091828,20.011599
208,65,1.25,200,37.0506,37.6775,0.786868,623.225,4.78125,3.762213,17.98808
209,65,1.25,200,32.7385,33.8478,0.840769,661.522,4.890625,4.111884,20.109682
210,65,1.25,200,30.0276,31.5491,0.874655,684.509,4.890625,4.27761,20.920184
211,65,1.25,200,91.4382,59.2601,0.107022,407.399,3.46875,0.371232,1.287712
212,65,1.25,200,87.9831,56.5088,0.150211,434.912,3.578125,0.537475,1.923152
213,65,1.25,200,82.5999,52.2099,0.217501,477.901,3.6875,0.802037,2.95751
214,65,1.25,200,79.4891,49.371,0.256386,506.29,3.796875,0.973467,3.696131
215,65,1.25,200,73.6034,47.2616,0.329957,527.384,3.90625,1.288896,5.034749
216,65,1.25,200,69.9365,43.5888,0.375794,564.112,4.015625,1.509048,6.059772
217,65,1.25,200,65.3233,40.1832,0.433458,598.168,4.125,1.788016,7.375566
218,65,1.25,200,59.5739,35.8528,0.505326,641.472,4.234375,2.139739,9.060457
219,65,1.25,200,55.905,32.4796,0.551187,675.204,4.34375,2.394219,10.399888
220,65,1.25,200,52.3537,29.3708,0.595578,706.292,4.453125,2.652185,11.81051
221,65,1.25,200,46.1655,25.8054,0.672931,741.946,4.5625,3.07025,14.008014
222,65,1.25,200,42.617,22.8002,0.717288,771.998,4.671875,3.351079,15.655823
223,65,1.25,200,37.2153,21.2144,0.784809,787.856,4.78125,3.75237,17.941017
224,65,1.25,200,33.7402,16.0532,0.828247,839.468,4.890625,4.050647,19.810193
225,65,1.25,200,88.62,60.93,0.14225,390.7,3.578125,0.508988,1.821224
226,65,1.25,200,81.9925,53.8444,0.225094,461.556,3.6875,0.830032,3.060745
227,65,1.25,200,78.4985,50.4604,0.268769,495.396,3.796875,1.020482,3.874644
228,65,1.25,200,73.9186,45.2883,0.326018,547.117,3.90625,1.273507,4.974636
229,65,1.25,200,68.1309,43.1621,0.398363,568.379,4.015625,1.599678,6.423705
230,65,1.25,200,63.725,39.0887,0.453437,609.113,4.125,1.870429,7.715518
231,65,1.25,200,58.9623,35.8789,0.512971,641.211,4.234375,2.17211,9.19753
232,65,1.25,200,54.285,32.733,0.571438,672.67,4.34375,2.482184,10.781985
233,65,1.25,200,51.4924,29.8618,0.606345,701.382,4.453125,2.700131,12.024021
234,65,1.25,200,45.0357,26.3239,0.687054,736.761,4.5625,3.134682,14.301989
235,65,1.25,200,41.5678,21.9664,0.730403,780.336,4.671875,3.412351,15.942078
236,65,1.25,200,37.2201,19.4619,0.784749,805.381,4.78125,3.75208,17.939632
237,65,1.25,200,32.5967,14.8095,0.842541,851.905,4.890625,4.120554,20.152083
238,65,1.25,200,81.3075,52.4836,0.233656,475.164,3.6875,0.861605,3.177169
239,65,1.25,200,76.0101,49.3206,0.299874,506.794,3.796875,1.138585,4.323065
240,65,1.25,200,71.2343,45.391,0.359571,546.09,3.90625,1.404575,5.48662
241,65,1.25,200,68.9048,41.6768,0.38869,583.232,4.015625,1.560831,6.267713
242,65,1.25,200,64.3722,39.6845,0.445347,603.155,4.125,1.837058,7.577866
243,65,1.25,200,58.7271,34.471,0.515911,655.29,4.234375,2.18456,9.250248
244,65,1.25,200,55.3478,31.4993,0.558153,685.007,4.34375,2.424477,10.53132
245,65,1.25,200,50.0377,29.8297,0.624529,701.703,4.453125,2.781107,12.384618
246,65,1.25,200,44.1553,25.5826,0.698058,744.174,4.5625,3.184891,14.531067
247,65,1.25,200,40.6781,22.6872,0.741524,773.128,4.671875,3.464305,16.184802
248,65,1.25,200,37.0949,19.907,0.786314,800.93,4.78125,3.759564,17.975414
249,65,1.25,200,30.7202,16.5078,0.865998,834.922,4.890625,4.235272,20.713126
250,65,1.25,200,75.425,49.1125,0.307187,508.875,3.796875,1.166352,4.428492
251,65,1.25,200,72.8495,44.3366,0.339382,556.634,3.90625,1.32571,5.178554
252,65,1.25,200,67.0983,42.535,0.411271,574.65,4.015625,1.651511,6.63185
253,65,1.25,200,63.6716,39.1929,0.454105,608.071,4.125,1.873182,7.726877
254,65,1.25,200,58.9198,33.3134,0.513502,666.866,4.234375,2.174362,9.207063
255,65,1.25,200,53.6319,30.2754,0.579602,697.246,4.34375,2.517645,10.936021
256,65,1.25,200,50.0811,27.4593,0.623987,725.407,4.453125,2.778691,12.373858
257,65,1.25,200,45.5488,24.8712,0.68064,751.288,4.5625,3.105418,14.168469
258,65,1.25,200,39.8135,22.6655,0.752331,773.345,4.671875,3.514797,16.420691
259,65,1.25,200,36.1238,18.0355,0.798453,819.645,4.78125,3.817601,18.252907
260,65,1.25,200,29.9971,13.7279,0.875036,862.721,4.890625,4.279473,20.929297
261,65,1.25,200,70.0806,43.885,0.373992,561.15,3.90625,1.460908,5.706671
262,65,1.25,200,65.7612,39.8089,0.427985,601.911,4.015625,1.718628,6.901365
263,65,1.25,200,62.3648,38.1891,0.470441,618.109,4.125,1.940567,8.00484
264,65,1.25,200,57.4127,34.7829,0.532342,652.171,4.234375,2.254134,9.544848
265,65,1.25,200,51.9243,31.7472,0.600946,682.528,4.34375,2.61036,11.338749
266,65,1.25,200,49.1092,28.3531,0.636136,716.469,4.453125,2.832791,12.614774
267,65,1.25,200,43.646,22.9679,0.704424,770.321,4.5625,3.213936,14.663584
268,65,1.25,200,39.4687,19.9299,0.756641,800.701,4.671875,3.534933,16.514763
269,65,1.25,200,33.6531,17.0061,0.829336,829.939,4.78125,3.965264,18.95892
270,65,1.25,200,29.3641,13.5177,0.882949,864.823,4.890625,4.318173,21.118567
271,65,1.25,200,64.9434,40.773,0.438208,592.27,4.015625,1.759678,7.066208
272,65,1.25,200,62.1209,36.1954,0.473488,638.046,4.125,1.953139,8.0567
273,65,1.25,200,57.0193,32.0695,0.537259,679.305,4.234375,2.274955,9.633014
274,65,1.25,200,52.3063,30.6648,0.596171,693.352,4.34375,2.589617,11.248648
275,65,1.25,200,46.3397,25.7435,0.670753,742.565,4.453125,2.986949,13.301257
276,65,1.25,200,42.3801,23.2352,0.720249,767.648,4.5625,3.286136,14.992994
277,65,1.25,200,38.3029,21.2938,0.771213,787.062,4.671875,3.603013,16.832826
278,65,1.25,200,34.2385,16.3457,0.822018,836.543,4.78125,3.930275,18.791627
279,65,1.25,200,28.2849,14.7277,0.896438,852.723,4.890625,4.384144,21.441206
280,65,1.25,200,59.7737,36.446,0.502829,635.54,4.125,2.074168,8.555942
281,65,1.25,200,55.0447,31.7865,0.561942,682.135,4.234375,2.379472,10.075577
282,65,1.25,200,50.3395,30.1937,0.620756,698.063,4.34375,2.696409,11.712526
283,65,1.25,200,46.8788,25.9519,0.664015,740.481,4.453125,2.956943,13.167638
284,65,1.25,200,42.1963,22.7933,0.722546,772.067,4.5625,3.296618,15.040819
285,65,1.25,200,37.6213,20.022,0.779734,799.78,4.671875,3.642819,17.018795
286,65,1.25,200,32.3086,15.5429,0.846143,844.571,4.78125,4.045621,19.343126
287,65,1.25,200,29.0489,13.9823,0.886889,860.177,4.890625,4.337442,21.212801
288,65,1.25,200,53.9496,32.0384,0.57563,679.616,4.234375,2.437433,10.321003
289,65,1.25,200,50.8953,27.6937,0.613809,723.063,4.34375,2.666232,11.581447
290,65,1.25,200,46.0134,24.3354,0.674833,756.646,4.453125,3.005115,13.382151
291,65,1.25,200,41.4269,22.2654,0.732164,777.346,4.5625,3.340499,15.241029
292,65,1.25,200,36.9401,17.9571,0.788249,820.429,4.671875,3.682599,17.204643
293,65,1.25,200,31.8062,15.682,0.852422,843.18,4.78125,4.075643,19.486669
294,65,1.25,200,26.7509,11.4876,0.915614,885.124,4.890625,4.477926,21.899859
295,65,1.25,200,49.8402,27.1046,0.626998,728.954,4.34375,2.723522,11.830297
296,65,1.25,200,45.1187,25.8018,0.686017,741.982,4.453125,3.054919,13.603936
297,65,1.25,200,40.4351,21.6621,0.744561,783.379,4.5625,3.39706,15.499086
298,65,1.25,200,35.8963,17.0742,0.801296,829.258,4.671875,3.743555,17.489421
299,65,1.25,200,31.3628,15.8594,0.857965,841.406,4.78125,4.102143,19.613372
300,65,1.25,200,27.4421,11.3962,0.906973,886.038,4.890625,4.435667,21.693185
301,65,1.25,200,45.0876,25.0008,0.686405,749.992,4.453125,3.056647,13.611629
302,65,1.25,200,39.9692,19.7268,0.750385,802.732,4.5625,3.423632,15.62032
303,65,1.25,200,34.8612,16.466,0.814234,835.34,4.671875,3.804002,17.77182
304,65,1.25,200,31.8734,15.5918,0.851583,844.082,4.78125,4.071629,19.467476
305,65,1.25,200,25.1063,12.2771,0.936172,877.229,4.890625,4.578464,22.391552
306,65,1.25,200,37.8918,20.1198,0.776353,798.802,4.5625,3.542109,16.160872
307,65,1.25,200,35.1143,17.8068,0.811071,821.932,4.671875,3.789224,17.702783
308,65,1.25,200,31.0699,14.1585,0.861627,858.415,4.78125,4.119652,19.697086
309,65,1.25,200,25.1839,11.8175,0.935202,881.825,4.890625,4.573721,22.368352
310,65,1.25,200,33.4211,17.4724,0.832237,825.276,4.671875,3.888105,18.164741
311,65,1.25,200,30.1325,12.7768,0.873344,872.232,4.78125,4.175675,19.964948
312,65,1.25,200,25.0479,10.2655,0.936901,897.345,4.890625,4.582031,22.408995
313,65,1.25,200,28.4849,12.9299,0.893938,870.701,4.78125,4.274142,20.435741
314,65,1.25,200,23.4784,8.2872,0.95652,917.128,4.890625,4.677981,22.87825
315,65,1.25,200,23.1675,8.6433,0.960406,913.567,4.890625,4.696984,22.971188
316,65,1.25,200,21.0469,15.8485,0.986914,841.515,4.890625,4.826628,23.605225
317,65,1.25,200,23.8083,18.9137,0.952396,810.863,4.78125,4.553642,21.772103
