architecture_id,family,variant,baseline_source,w_bits,m_bits,l_bits,k_bits,approximation_strategy,is_literature_baseline,selected_for_synthesis
33,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,6,7,COPY,0,0
34,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,7,6,COPY,0,0
35,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,8,5,COPY,0,0
36,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,9,4,COPY,0,0
37,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,10,3,COPY,0,0
38,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,11,2,COPY,0,0
39,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,12,1,COPY,0,0
40,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,1,11,COPY,0,1
41,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,2,10,COPY,0,0
42,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,3,9,COPY,0,0
43,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,4,8,COPY,0,0
44,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,5,7,COPY,0,0
45,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,6,6,COPY,0,0
46,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,7,5,COPY,0,0
47,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,8,4,COPY,0,0
48,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,9,3,COPY,0,0
49,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,10,2,COPY,0,0
50,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,11,1,COPY,0,0
51,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,1,10,COPY,0,0
52,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,2,9,COPY,0,0
53,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,3,8,COPY,0,0
54,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,4,7,COPY,0,0
55,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,5,6,COPY,0,0
56,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,6,5,COPY,0,0
57,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,7,4,COPY,0,0
58,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,8,3,COPY,0,0
59,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,9,2,COPY,0,0
60,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,10,1,COPY,0,0
61,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,1,9,COPY,0,0
62,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,2,8,COPY,0,0
63,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,3,7,COPY,0,0
64,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,4,6,COPY,0,0
65,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,5,5,COPY,0,1
66,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,6,4,COPY,0,0
67,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,7,3,COPY,0,0
68,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,8,2,COPY,0,0
69,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,9,1,COPY,0,0
70,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,1,8,COPY,0,0
71,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,2,7,COPY,0,0
72,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,3,6,COPY,0,0
73,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,4,5,COPY,0,1
74,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,5,4,COPY,0,0
75,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,6,3,COPY,0,0
76,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,7,2,COPY,0,0
77,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,8,1,COPY,0,0
78,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,1,7,COPY,0,0
79,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,2,6,COPY,0,0
80,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,3,5,COPY,0,1
81,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,4,4,COPY,0,0
82,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,5,3,COPY,0,0
83,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,6,2,COPY,0,0
84,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,7,1,COPY,0,0
85,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,1,6,COPY,0,0
86,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,2,5,COPY,0,0
87,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,3,4,COPY,0,0
88,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,4,3,COPY,0,0
89,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,5,2,COPY,0,0
90,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,6,1,COPY,0,0
91,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,10,1,5,COPY,0,1
92,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,10,2,4,COPY,0,0
93,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,10,3,3,COPY,0,0
94,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,10,4,2,COPY,0,0
95,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,10,5,1,COPY,0,0
96,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,11,1,4,COPY,0,0
97,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,11,2,3,COPY,0,0
98,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,11,3,2,COPY,0,0
99,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,11,4,1,COPY,0,0
100,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,12,1,3,COPY,0,1
101,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,12,2,2,COPY,0,0
102,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,12,3,1,COPY,0,0
103,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,13,1,2,COPY,0,0
104,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,13,2,1,COPY,0,0
105,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,14,1,1,COPY,0,0
106,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,1,14,TRUNC,0,0
107,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,2,13,TRUNC,0,0
108,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,3,12,TRUNC,0,0
109,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,4,11,TRUNC,0,0
110,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,5,10,TRUNC,0,0
111,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,6,9,TRUNC,0,0
112,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,7,8,TRUNC,0,1
113,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,8,7,TRUNC,0,0
114,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,9,6,TRUNC,0,0
115,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,10,5,TRUNC,0,0
116,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,11,4,TRUNC,0,0
117,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,12,3,TRUNC,0,0
118,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,13,2,TRUNC,0,0
119,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,1,14,1,TRUNC,0,1
120,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,1,13,TRUNC,0,1
121,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,2,12,TRUNC,0,0
122,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,3,11,TRUNC,0,0
123,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,4,10,TRUNC,0,0
124,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,5,9,TRUNC,0,0
125,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,6,8,TRUNC,0,0
126,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,7,7,TRUNC,0,0
127,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,8,6,TRUNC,0,0
128,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,9,5,TRUNC,0,0
129,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,10,4,TRUNC,0,0
130,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,11,3,TRUNC,0,0
131,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,12,2,TRUNC,0,0
132,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,2,13,1,TRUNC,0,0
133,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,1,12,TRUNC,0,1
134,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,2,11,TRUNC,0,0
135,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,3,10,TRUNC,0,0
136,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,4,9,TRUNC,0,0
137,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,5,8,TRUNC,0,0
138,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,6,7,TRUNC,0,0
139,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,7,6,TRUNC,0,0
140,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,8,5,TRUNC,0,0
141,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,9,4,TRUNC,0,0
142,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,10,3,TRUNC,0,0
143,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,11,2,TRUNC,0,0
144,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,3,12,1,TRUNC,0,0
145,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,1,11,TRUNC,0,1
146,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,2,10,TRUNC,0,0
147,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,3,9,TRUNC,0,0
148,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,4,8,TRUNC,0,0
149,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,5,7,TRUNC,0,0
150,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,6,6,TRUNC,0,0
151,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,7,5,TRUNC,0,0
152,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,8,4,TRUNC,0,0
153,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,9,3,TRUNC,0,0
154,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,10,2,TRUNC,0,0
155,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,4,11,1,TRUNC,0,0
156,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,1,10,TRUNC,0,0
157,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,2,9,TRUNC,0,0
158,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,3,8,TRUNC,0,0
159,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,4,7,TRUNC,0,0
160,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,5,6,TRUNC,0,0
161,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,6,5,TRUNC,0,0
162,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,7,4,TRUNC,0,0
163,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,8,3,TRUNC,0,0
164,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,9,2,TRUNC,0,0
165,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,5,10,1,TRUNC,0,0
166,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,1,9,TRUNC,0,0
167,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,2,8,TRUNC,0,0
168,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,3,7,TRUNC,0,0
169,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,4,6,TRUNC,0,0
170,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,5,5,TRUNC,0,1
171,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,6,4,TRUNC,0,0
172,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,7,3,TRUNC,0,0
173,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,8,2,TRUNC,0,0
174,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,6,9,1,TRUNC,0,0
175,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,1,8,TRUNC,0,0
176,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,2,7,TRUNC,0,0
177,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,3,6,TRUNC,0,0
178,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,4,5,TRUNC,0,1
179,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,5,4,TRUNC,0,0
180,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,6,3,TRUNC,0,0
181,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,7,2,TRUNC,0,0
182,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,7,8,1,TRUNC,0,0
183,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,8,1,7,TRUNC,0,0
184,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,8,2,6,TRUNC,0,0
185,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,8,3,5,TRUNC,0,1
186,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,8,4,4,TRUNC,0,0
187,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,8,5,3,TRUNC,0,0
188,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,8,6,2,TRUNC,0,0
189,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,8,7,1,TRUNC,0,0
190,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,9,1,6,TRUNC,0,0
191,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,9,2,5,TRUNC,0,0
192,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,9,3,4,TRUNC,0,0
193,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,9,4,3,TRUNC,0,0
194,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,9,5,2,TRUNC,0,0
195,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,9,6,1,TRUNC,0,0
196,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,10,1,5,TRUNC,0,1
197,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,10,2,4,TRUNC,0,0
198,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,10,3,3,TRUNC,0,0
199,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,10,4,2,TRUNC,0,0
200,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,10,5,1,TRUNC,0,0
201,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,11,1,4,TRUNC,0,0
202,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,11,2,3,TRUNC,0,0
203,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,11,3,2,TRUNC,0,0
204,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,11,4,1,TRUNC,0,0
205,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,12,1,3,TRUNC,0,1
206,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,12,2,2,TRUNC,0,0
207,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,12,3,1,TRUNC,0,0
208,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,13,1,2,TRUNC,0,0
209,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,13,2,1,TRUNC,0,0
210,M-AxPPA,M-AxPPA-TRUNC,synthetic_from_public_paper_structure,16,14,1,1,TRUNC,0,0
211,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,1,14,LOA,0,0
212,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,2,13,LOA,0,0
213,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,3,12,LOA,0,0
214,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,4,11,LOA,0,0
215,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,5,10,LOA,0,0
216,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,6,9,LOA,0,0
217,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,7,8,LOA,0,1
218,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,8,7,LOA,0,0
219,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,9,6,LOA,0,0
220,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,10,5,LOA,0,0
221,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,11,4,LOA,0,0
222,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,12,3,LOA,0,0
223,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,13,2,LOA,0,0
224,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,1,14,1,LOA,0,1
225,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,1,13,LOA,0,1
226,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,2,12,LOA,0,0
227,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,3,11,LOA,0,0
228,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,4,10,LOA,0,0
229,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,5,9,LOA,0,0
230,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,6,8,LOA,0,0
231,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,7,7,LOA,0,0
232,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,8,6,LOA,0,0
233,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,9,5,LOA,0,0
234,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,10,4,LOA,0,0
235,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,11,3,LOA,0,0
236,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,12,2,LOA,0,0
237,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,2,13,1,LOA,0,0
238,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,1,12,LOA,0,1
239,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,2,11,LOA,0,0
240,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,3,10,LOA,0,0
241,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,4,9,LOA,0,0
242,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,5,8,LOA,0,0
243,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,6,7,LOA,0,0
244,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,7,6,LOA,0,0
245,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,8,5,LOA,0,0
246,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,9,4,LOA,0,0
247,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,10,3,LOA,0,0
248,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,11,2,LOA,0,0
249,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,3,12,1,LOA,0,0
250,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,4,1,11,LOA,0,1
251,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,4,2,10,LOA,0,0
252,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,4,3,9,LOA,0,0
253,M-AxPPA,M-AxPPA-LOA,synthetic_from_public_paper_structure,16,4,4,8,LOA,0,0
