architecture_id,family,variant,baseline_source,w_bits,m_bits,l_bits,k_bits,approximation_strategy,is_literature_baseline,selected_for_synthesis,input_vectors,ssim,ncc,mae,mre,mred,accuracy_rank,technology_node_nm,supply_voltage,clock_mhz,energy_saving_pct,area_saving_pct,power_mw,area_um2,delay_ns,pdp,edp,normalized_error,normalized_energy_saving,normalized_area_saving,balanced_score,pareto_optimal_energy_error,pareto_optimal_area_error
11,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,11,4,COPY,0,0,1000000,0.99061,0.996195,1176.688,0.019784,0.012191,177,65,1.25,200,49.1481,37.2942,0.635648,627.058,4.5625,2.900146,13.231916,0.969502,0.501511,0.412552,0.694315,0,0
12,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,12,3,COPY,0,0,1000000,0.99388,0.997526,781.315,0.013012,0.00661,123,65,1.25,200,45.1909,35.6181,0.685114,643.819,4.671875,3.200766,14.953577,0.983464,0.461132,0.394011,0.682757,0,0
13,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,13,2,COPY,0,0,1000000,0.996517,0.998592,476.136,0.007419,0.003618,83,65,1.25,200,41.3387,31.8435,0.733267,681.565,4.78125,3.505931,16.762735,0.990949,0.421823,0.352256,0.664016,0,0
14,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,14,1,COPY,0,1,1000000,0.998306,0.999315,181.729,0.003612,0.001725,47,65,1.25,200,35.1634,26.9875,0.810457,730.125,4.890625,3.963643,19.384693,0.995685,0.35881,0.298538,0.633349,0,0
15,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,1,13,COPY,0,1,1000000,0.915055,0.965548,10218.852,0.178238,0.118451,405,65,1.25,200,90.167,67.86,0.122913,321.4,3.578125,0.439798,1.573653,0.703675,0.920071,0.750674,0.788814,0,0
16,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,2,12,COPY,0,0,1000000,0.927579,0.97063,8738.146,0.151998,0.10054,389,65,1.25,200,85.4121,62.3873,0.182348,376.127,3.6875,0.672409,2.479507,0.748483,0.871552,0.690134,0.779887,0,0
17,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,3,11,COPY,0,0,1000000,0.938525,0.97507,7435.603,0.129062,0.084939,373,65,1.25,200,81.5645,61.1708,0.230444,388.292,3.796875,0.874965,3.322134,0.787511,0.832291,0.676677,0.781017,0,0
18,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,4,10,COPY,0,0,1000000,0.949613,0.979565,6149.653,0.105747,0.070021,353,65,1.25,200,75.6717,57.6117,0.304104,423.883,3.90625,1.187908,4.640264,0.824831,0.77216,0.637306,0.768891,0,0
19,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,5,9,COPY,0,0,1000000,0.958493,0.983168,5022.892,0.087136,0.05739,339,65,1.25,200,71.0953,54.6974,0.361308,453.026,4.015625,1.450879,5.826187,0.85643,0.725462,0.605068,0.760319,0,0
20,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,6,8,COPY,0,0,1000000,0.966913,0.986587,4032.631,0.069562,0.044589,307,65,1.25,200,66.2474,50.0749,0.421908,499.251,4.125,1.740369,7.179023,0.888453,0.675994,0.553933,0.747188,0,0
21,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,7,7,COPY,0,0,1000000,0.974012,0.989465,3189.476,0.054636,0.035039,278,65,1.25,200,63.6183,46.1592,0.454772,538.408,4.234375,1.925674,8.154025,0.912344,0.649166,0.510617,0.739887,0,0
22,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,8,6,COPY,0,0,1000000,0.980891,0.992251,2373.006,0.040123,0.026348,242,65,1.25,200,57.8827,43.2038,0.526466,567.962,4.34375,2.286837,9.93345,0.934086,0.59064,0.477924,0.722648,0,0
23,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,9,5,COPY,0,0,1000000,0.987048,0.994751,1595.812,0.027267,0.017036,198,65,1.25,200,52.3171,39.0616,0.596036,609.384,4.453125,2.654222,11.819583,0.957382,0.533848,0.432103,0.704089,0,0
24,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,10,4,COPY,0,0,1000000,0.991454,0.996537,1108.615,0.018003,0.011109,166,65,1.25,200,48.9111,36.2602,0.638612,637.398,4.5625,2.913666,13.2936,0.972209,0.499093,0.401114,0.692399,0,0
25,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,11,3,COPY,0,0,1000000,0.994091,0.997611,764.007,0.012559,0.006439,121,65,1.25,200,45.5462,33.3373,0.680672,666.627,4.671875,3.180015,14.856631,0.983892,0.464757,0.36878,0.679172,0,0
26,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,12,2,COPY,0,0,1000000,0.997153,0.998845,361.202,0.005956,0.004167,91,65,1.25,200,38.6802,31.5813,0.766498,684.187,4.78125,3.664819,17.522417,0.989576,0.394696,0.349355,0.653324,0,0
27,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,13,1,COPY,0,0,1000000,0.998839,0.999533,160.828,0.002512,0.000765,17,65,1.25,200,36.0796,27.4824,0.799004,725.176,4.890625,3.907631,19.110757,0.998086,0.368159,0.304013,0.638797,0,0
28,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,1,12,COPY,0,1,1000000,0.927575,0.970624,8783.629,0.151926,0.101463,391,65,1.25,200,85.2149,61.8603,0.184813,381.397,3.6875,0.681499,2.513027,0.746174,0.86954,0.684304,0.776978,0,0
29,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,2,11,COPY,0,0,1000000,0.93893,0.975234,7436.56,0.12819,0.084604,371,65,1.25,200,79.4573,60.4858,0.256784,395.142,3.796875,0.974978,3.701868,0.788349,0.810789,0.6691,0.772353,0,0
30,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,3,10,COPY,0,0,1000000,0.949297,0.97944,6120.162,0.106485,0.069626,351,65,1.25,200,75.8924,55.2386,0.301344,447.614,3.90625,1.177127,4.598151,0.825819,0.774412,0.611055,0.764874,0,0
31,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,4,9,COPY,0,0,1000000,0.959293,0.983488,4972.129,0.085359,0.057383,338,65,1.25,200,71.3683,52.7936,0.357896,472.064,4.015625,1.437178,5.771167,0.856447,0.728248,0.584008,0.75709,0,0
32,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,5,8,COPY,0,0,1000000,0.967411,0.986787,3971.592,0.068479,0.044346,305,65,1.25,200,65.1407,48.4468,0.435741,515.532,4.125,1.797431,7.414404,0.889061,0.664701,0.535923,0.739908,0,0
33,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,6,7,COPY,0,0,1000000,0.974087,0.989496,3214.544,0.054493,0.034774,276,65,1.25,200,61.1955,47.2504,0.485057,527.496,4.234375,2.053912,8.697033,0.913007,0.624444,0.522688,0.733946,0,0
34,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,7,6,COPY,0,0,1000000,0.980794,0.992219,2389.263,0.040489,0.024642,234,65,1.25,200,57.3515,43.6363,0.533106,563.637,4.34375,2.31568,10.058735,0.938354,0.585219,0.482709,0.723628,0,0
35,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,8,5,COPY,0,0,1000000,0.986472,0.994517,1659.467,0.028462,0.018002,207,65,1.25,200,52.7542,38.5988,0.590573,614.012,4.453125,2.629896,11.711255,0.954965,0.538308,0.426984,0.703539,0,0
36,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,9,4,COPY,0,0,1000000,0.991033,0.99637,1122.043,0.01896,0.010867,164,65,1.25,200,47.6321,35.8182,0.654599,641.818,4.5625,2.986609,13.626402,0.972814,0.486042,0.396224,0.687126,0,0
37,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,10,3,COPY,0,0,1000000,0.994685,0.997843,700.82,0.011128,0.007673,136,65,1.25,200,42.5083,32.838,0.718646,671.62,4.671875,3.357423,15.685459,0.980805,0.433758,0.363257,0.665829,0,0
38,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,11,2,COPY,0,0,1000000,0.99744,0.998963,307.19,0.005396,0.003295,76,65,1.25,200,39.7522,29.6299,0.753097,703.701,4.78125,3.600745,17.216064,0.991757,0.405635,0.327769,0.653817,0,0
39,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,12,1,COPY,0,0,1000000,0.99799,0.999188,240.406,0.004293,0.001969,54,65,1.25,200,33.5661,27.5719,0.830424,724.281,4.890625,4.061294,19.862264,0.995074,0.342511,0.305003,0.628663,0,0
40,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,1,11,COPY,0,1,1000000,0.93865,0.975119,7400.406,0.128747,0.08534,375,65,1.25,200,79.4353,57.5835,0.257059,424.165,3.796875,0.97602,3.705826,0.786508,0.810564,0.636994,0.765025,0,0
41,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,2,10,COPY,0,0,1000000,0.948994,0.979316,6212.383,0.107081,0.070479,354,65,1.25,200,74.6932,54.9024,0.316336,450.976,3.90625,1.235686,4.826898,0.823685,0.762176,0.607335,0.758887,0,0
42,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,3,9,COPY,0,0,1000000,0.95885,0.983316,4996.824,0.086458,0.056086,325,65,1.25,200,69.254,52.1144,0.384326,478.856,4.015625,1.543307,6.197343,0.859692,0.706673,0.576494,0.749496,0,0
43,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,4,8,COPY,0,0,1000000,0.96796,0.987,3933.924,0.067108,0.046033,314,65,1.25,200,65.838,48.2736,0.427024,517.264,4.125,1.761476,7.266088,0.884841,0.671816,0.534007,0.740116,0,0
44,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,5,7,COPY,0,0,1000000,0.974402,0.989624,3104.435,0.053837,0.034287,272,65,1.25,200,60.8154,46.1477,0.489808,538.523,4.234375,2.074029,8.782218,0.914225,0.620565,0.51049,0.730697,0,0
45,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,6,6,COPY,0,0,1000000,0.980771,0.992203,2332.197,0.040378,0.026469,244,65,1.25,200,55.4742,43.704,0.556572,562.96,4.34375,2.417611,10.501496,0.933783,0.566063,0.483458,0.715016,0,0
46,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,7,5,COPY,0,0,1000000,0.986848,0.994671,1656.613,0.027713,0.017023,197,65,1.25,200,50.8843,39.1355,0.613946,608.645,4.453125,2.733979,12.174751,0.957414,0.519228,0.432921,0.69915,0,0
47,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,8,4,COPY,0,0,1000000,0.990938,0.996332,1137.269,0.019173,0.010857,163,65,1.25,200,47.3926,37.1173,0.657593,628.827,4.5625,3.000267,13.688716,0.972839,0.483598,0.410595,0.689156,0,0
48,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,9,3,COPY,0,0,1000000,0.994686,0.997849,707.651,0.011254,0.006252,119,65,1.25,200,42.9581,32.1308,0.713024,678.692,4.671875,3.331158,15.562756,0.98436,0.438348,0.355434,0.66747,0,0
49,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,10,2,COPY,0,0,1000000,0.9987,0.9993,10300.0,0.0202,0.002673596410884164,69,65,1.25,200,38.2096,29.5049,0.77238,704.951,4.78125,3.692943,17.656886,0.993312,0.389894,0.326386,0.64873,0,0
50,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,4,11,1,COPY,0,0,1000000,0.998365,0.999344,201.319,0.003582,0.000587,11,65,1.25,200,34.8889,25.1227,0.813889,748.773,4.890625,3.980427,19.466773,0.998532,0.356009,0.27791,0.629524,0,0
51,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,1,10,COPY,0,0,1000000,0.948746,0.979216,6215.391,0.107617,0.070656,355,65,1.25,200,72.7296,55.8079,0.34088,441.921,3.90625,1.331562,5.201415,0.823242,0.742139,0.617352,0.753678,0,0
52,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,2,9,COPY,0,0,1000000,0.958933,0.983348,4977.52,0.086257,0.056283,328,65,1.25,200,68.9713,52.3397,0.387859,476.603,4.015625,1.557496,6.254322,0.859199,0.703789,0.578987,0.748763,0,0
53,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,3,8,COPY,0,0,1000000,0.967632,0.986872,3926.858,0.067902,0.045308,311,65,1.25,200,65.1047,49.1352,0.436191,508.648,4.125,1.799289,7.422069,0.886655,0.664334,0.543538,0.740219,0,0
54,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,4,7,COPY,0,0,1000000,0.975321,0.989993,3037.467,0.05184,0.03377,268,65,1.25,200,60.8144,44.5936,0.489819,554.064,4.234375,2.074079,8.782428,0.915519,0.620555,0.493299,0.727837,0,0
55,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,5,6,COPY,0,0,1000000,0.981726,0.992585,2274.917,0.038268,0.026342,241,65,1.25,200,54.6095,41.8788,0.567381,581.212,4.34375,2.464561,10.705435,0.934101,0.55724,0.463267,0.708033,0,0
56,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,6,5,COPY,0,0,1000000,0.98747,0.994919,1569.737,0.026305,0.017317,201,65,1.25,200,51.9087,37.5277,0.601142,624.723,4.453125,2.676959,11.920832,0.956679,0.529681,0.415135,0.698921,0,0
57,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,7,4,COPY,0,0,1000000,0.991757,0.99666,1071.411,0.017355,0.010821,162,65,1.25,200,47.2793,35.0259,0.659009,649.741,4.5625,3.006726,13.718189,0.972929,0.482442,0.38746,0.684165,0,0
58,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,8,3,COPY,0,0,1000000,0.994715,0.99786,695.045,0.011155,0.006623,124,65,1.25,200,42.5314,32.1814,0.718357,678.186,4.671875,3.356074,15.67916,0.983431,0.433994,0.355994,0.665641,0,0
59,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,9,2,COPY,0,0,1000000,0.99688,0.998742,374.516,0.006704,0.002587,68,65,1.25,200,38.2632,27.2767,0.77171,727.233,4.78125,3.689737,17.641556,0.993528,0.390441,0.301737,0.644089,0,0
60,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,5,10,1,COPY,0,0,1000000,0.998825,0.999526,153.902,0.002523,0.000988,27,65,1.25,200,33.6316,25.069,0.829605,749.31,4.890625,4.057287,19.842667,0.997528,0.34318,0.277316,0.624464,0,0
61,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,1,9,COPY,0,0,1000000,0.958678,0.983242,5064.945,0.086729,0.057344,337,65,1.25,200,68.0824,49.7852,0.39897,502.148,4.015625,1.602115,6.433491,0.856545,0.694718,0.550729,0.738742,0,0
62,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,2,8,COPY,0,0,1000000,0.968045,0.987038,3885.789,0.06702,0.044893,309,65,1.25,200,63.31,46.4673,0.458625,535.327,4.125,1.891829,7.803796,0.887693,0.64602,0.514026,0.728374,0,0
63,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,3,7,COPY,0,0,1000000,0.974516,0.98967,3101.741,0.053602,0.034082,271,65,1.25,200,60.5245,44.4806,0.493444,555.194,4.234375,2.089428,8.84742,0.914738,0.617597,0.492049,0.726201,0,0
64,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,4,6,COPY,0,0,1000000,0.981543,0.992516,2256.483,0.038765,0.025331,236,65,1.25,200,56.1114,41.2455,0.548608,587.545,4.34375,2.383014,10.351218,0.93663,0.572565,0.456262,0.713134,0,0
65,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,5,5,COPY,0,1,1000000,0.987249,0.994825,1572.82,0.026679,0.018643,213,65,1.25,200,49.7986,38.5217,0.627518,614.783,4.453125,2.794415,12.44388,0.953361,0.508149,0.426131,0.692091,0,0
66,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,6,4,COPY,0,0,1000000,0.990925,0.996324,1101.121,0.019134,0.011613,173,65,1.25,200,45.1024,34.0995,0.68622,659.005,4.5625,3.130879,14.284635,0.970948,0.460229,0.377212,0.673449,0,0
67,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,7,3,COPY,0,0,1000000,0.994183,0.997644,773.2,0.012278,0.007306,133,65,1.25,200,41.9709,32.2117,0.725364,677.883,4.671875,3.388809,15.832092,0.981723,0.428274,0.356329,0.662937,0,0
68,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,8,2,COPY,0,0,1000000,0.996742,0.998681,391.033,0.006898,0.00386,86,65,1.25,200,36.3466,26.8235,0.795667,731.765,4.78125,3.804284,18.189233,0.990344,0.370884,0.296724,0.634809,0,0
69,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,6,9,1,COPY,0,0,1000000,0.998843,0.999535,148.695,0.002524,0.000524,8,65,1.25,200,31.8864,25.6531,0.85142,743.469,4.890625,4.163978,20.364453,0.998689,0.325371,0.283777,0.620046,0,0
70,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,1,8,COPY,0,0,1000000,0.968176,0.987091,3921.545,0.066738,0.044802,308,65,1.25,200,63.8496,48.23,0.45188,517.7,4.125,1.864007,7.689028,0.88792,0.651527,0.533525,0.734303,0,0
71,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,2,7,COPY,0,0,1000000,0.975353,0.990001,3012.642,0.05165,0.035109,279,65,1.25,200,58.4467,45.1389,0.519416,548.611,4.234375,2.199403,9.313098,0.912169,0.596395,0.499331,0.71908,0,0
72,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,3,6,COPY,0,0,1000000,0.981609,0.992538,2300.312,0.038525,0.026358,243,65,1.25,200,54.1628,40.4931,0.572965,595.069,4.34375,2.488819,10.810806,0.934061,0.552682,0.447938,0.703354,0,0
73,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,4,5,COPY,0,1,1000000,0.986927,0.994698,1592.433,0.027434,0.01819,209,65,1.25,200,50.6433,37.2415,0.616958,627.585,4.453125,2.747392,12.23448,0.954495,0.516768,0.411969,0.692785,0,0
74,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,5,4,COPY,0,0,1000000,0.991729,0.996642,1038.52,0.017278,0.012406,180,65,1.25,200,45.8009,34.5108,0.677489,654.892,4.5625,3.091044,14.102886,0.968964,0.467356,0.381762,0.675961,0,0
75,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,6,3,COPY,0,0,1000000,0.994882,0.997924,613.596,0.010744,0.007087,130,65,1.25,200,39.5207,30.8494,0.755992,691.506,4.671875,3.531898,16.500586,0.982271,0.403272,0.341259,0.651419,0,0
76,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,7,2,COPY,0,0,1000000,0.997306,0.99891,378.764,0.005709,0.003124,74,65,1.25,200,36.758,27.3773,0.790525,726.227,4.78125,3.779698,18.071681,0.992185,0.375082,0.30285,0.638332,0,0
77,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,7,8,1,COPY,0,0,1000000,0.999301,0.999713,58.209,0.001377,0.001975,55,65,1.25,200,31.0084,22.7617,0.862395,772.383,4.890625,4.21765,20.626945,0.995059,0.316412,0.251792,0.608879,0,0
78,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,1,7,COPY,0,0,1000000,0.97555,0.990081,3007.623,0.05125,0.034687,275,65,1.25,200,58.3393,42.6457,0.520758,573.543,4.234375,2.205086,9.337162,0.913225,0.595299,0.471751,0.713656,0,0
79,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,2,6,COPY,0,0,1000000,0.982005,0.992703,2250.887,0.037799,0.02464,233,65,1.25,200,53.6525,39.6681,0.579343,603.319,4.34375,2.516522,10.931143,0.938359,0.547474,0.438812,0.70164,0,0
80,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,3,5,COPY,0,1,1000000,0.98743,0.9949,1567.949,0.026343,0.017898,205,65,1.25,200,49.3148,36.1468,0.633565,638.532,4.453125,2.821344,12.563796,0.955225,0.503212,0.399859,0.685947,0,0
81,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,4,4,COPY,0,0,1000000,0.991669,0.996621,1045.594,0.017483,0.011592,172,65,1.25,200,43.2142,34.2861,0.709823,657.139,4.5625,3.238568,14.775966,0.971001,0.440961,0.379276,0.667142,0,0
82,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,5,3,COPY,0,0,1000000,0.99447,0.997764,723.668,0.011759,0.005955,114,65,1.25,200,39.4118,31.3323,0.757353,686.677,4.671875,3.538258,16.5303,0.985103,0.402161,0.346601,0.653373,0,0
83,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,6,2,COPY,0,0,1000000,0.997856,0.999131,296.539,0.00451,0.002867,72,65,1.25,200,34.6777,27.9691,0.816529,720.309,4.78125,3.904029,18.666139,0.992828,0.353854,0.309397,0.632501,0,0
84,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,8,7,1,COPY,0,0,1000000,0.999235,0.999692,126.932,0.001642,0.000642,14,65,1.25,200,31.7468,22.1226,0.853164,778.774,4.890625,4.172507,20.406168,0.998394,0.323947,0.244722,0.611603,0,0
85,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,1,6,COPY,0,0,1000000,0.982272,0.992808,2222.788,0.037149,0.025273,235,65,1.25,200,52.9707,38.8673,0.587867,611.327,4.34375,2.553546,11.091967,0.936775,0.540517,0.429954,0.696721,0,0
86,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,2,5,COPY,0,0,1000000,0.986534,0.994546,1653.374,0.02843,0.016812,195,65,1.25,200,48.8164,36.4398,0.639795,635.602,4.453125,2.849088,12.687346,0.957942,0.498127,0.4031,0.686038,0,0
87,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,3,4,COPY,0,0,1000000,0.991924,0.996721,1038.952,0.016858,0.012248,178,65,1.25,200,44.6336,31.6248,0.69208,683.752,4.5625,3.157617,14.406626,0.96936,0.455445,0.349837,0.665585,0,0
88,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,4,3,COPY,0,0,1000000,0.994607,0.997818,660.415,0.01143,0.006242,118,65,1.25,200,39.2582,30.1002,0.759273,698.998,4.671875,3.547228,16.572204,0.984385,0.400594,0.332971,0.649775,0,0
89,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,5,2,COPY,0,0,1000000,0.997103,0.998827,383.42,0.006132,0.003438,80,65,1.25,200,33.3366,24.7883,0.833292,752.117,4.78125,3.984177,19.049347,0.991399,0.340169,0.27421,0.620031,0,0
90,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,9,6,1,COPY,0,0,1000000,0.998355,0.999337,174.714,0.003541,0.001274,36,65,1.25,200,30.5747,22.3132,0.867816,776.868,4.890625,4.244165,20.756618,0.996813,0.311987,0.246831,0.607127,0,0
